# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16713530	1.8212935
16996256	-1.870696125
16956792	3.4091095
16675301	3.477059375
16862107	-4.405105
16986632	-2.2859045
16897033	2.097628125
16850595	2.544298375
16703715	2.4234785
16919022	1.5709015
16713352	1.685087875
17105914	-2.921210375
17105903	1.8248055
16666485	4.1192025
16905521	1.537984875
17050765	2.617074
16811359	-1.779824375
16871467	3.683809875
16966285	1.76632075
16894402	1.96982025
17093543	2.92852725
16983373	2.29578025
16677201	-2.374794125
17094893	3.96373125
16840113	2.36857525
16904105	1.290777375
17059828	-4.46359775
16976211	2.97399875
16787972	-3.71813125
16672838	2.172572125
16705778	1.228925875
16705174	-2.80148975
16888437	1.852924625
16968098	2.56212075
16840210	-1.604407375
16874828	4.041172
16988062	-1.223416125
16711598	-1.39942025
17117752	3.00998975
16880001	2.142356375
16972663	-1.907936875
17105082	3.2559255
17095499	2.811631
16980849	4.705886625
17035049	2.075460875
16766946	3.23204925
17067361	3.011617375
16763467	-2.334104375
16980160	1.804601375
16752305	-1.885272375
16868619	-1.424121125
17032882	1.8138385
17093743	1.76229575
16895982	1.30500375
16774303	2.026189375
16863970	-2.2917005
16970404	2.98829125
16895179	1.68439675
16779059	2.42413575
17113448	1.99059925
17058405	-1.974605625
17058952	-1.974605625
16951797	2.12213075
16795550	2.8797805
16773681	4.41038025
16863589	2.080298125
16861647	1.582923625
16971631	2.121118375
16998906	1.485963375
16861302	1.938611125
17109893	1.75423575
16911132	1.125201125
16686060	-1.8840465
16761193	1.867939375
16865020	-3.11155725
16955489	1.343138375
16705188	2.99543475
16871546	2.35650675
17012182	-3.095545375
16698949	1.708604625
16780885	1.878630625
16684310	2.491039125
17002141	1.37033225
16727149	3.117443125
17111738	-2.0813795
17037290	1.72266775
17074914	1.7621925
17043960	3.33014425
17069402	1.583805
17030188	1.798489125
17069535	-3.99087625
17020258	-5.459321375
16965268	2.191548
16996684	-2.8938985
16834621	1.925456625
16686774	2.681047625
16944262	1.5683775
16675398	5.2607995
16779085	1.447378
16716659	3.537634875
16975578	1.850582
16800355	-1.40103175
16706630	1.498345375
16824572	2.64491325
17038687	1.701480875
16697196	1.317502375
16919547	6.01162925
17107520	-1.23491075
16810713	1.829797
16676183	1.40654125
17113346	6.0575045
17081483	-2.26811025
17028338	2.45595225
17038622	2.46484575
16898617	-0.978870875
16852573	-1.685392875
16811617	-1.762695375
17039907	3.32797325
16924620	3.037329625
16719417	-1.49594675
16781610	2.99969525
16767270	1.648622
17042506	1.763650625
17033704	1.640721125
16748788	2.169552625
17037670	1.64140725
17011302	-3.32583
16805397	1.58227525
16905013	-1.00673375
17029721	1.559960625
17039923	1.559960625
16814001	1.20678775
16705011	4.061382375
17026444	1.75095625
17035971	1.75095625
16692846	3.6541565
17058968	2.394391125
17071412	1.6281325
17085829	-1.841112
16737344	1.8374905
16825333	-1.687817
17101587	-5.05667875
16711501	1.38539475
16787902	2.6105465
16679033	-1.1504705
16776339	1.641858875
17037303	1.56195875
16899985	-1.323820625
16774789	2.033263375
16778292	1.906795125
17042519	1.3284435
16763512	-1.647226
17083352	-4.20674175
16879500	2.86483725
16997404	1.67433575
16751655	2.672730125
17027082	2.552912125
16802960	2.31265275
16672373	1.73791875
16744415	1.9074235
16835374	1.44343125
16702257	2.357527875
17046407	2.40246775
16660581	2.2963585
16950825	1.760308875
16702705	-3.1986645
16795794	-2.219842625
17105939	-2.225862625
16977925	-1.989623
17078999	1.584407125
16821737	-1.5515365
16761370	4.523216875
16825177	-3.92470325
17081373	1.021950375
16971643	3.15597675
16839425	-2.751143
16761820	2.506382625
16761176	2.549684
16832147	1.313026125
16778849	1.531940375
17035918	2.4307955
16878406	1.302995375
17097661	1.53208025
16699290	-2.658858625
16872871	-2.390505125
16730487	1.925100125
16791898	1.37521975
17018011	1.2535455
16667530	3.10975625
16660575	1.979907125
16791444	3.20948975
16731297	2.05576575
16814738	1.0938645
17080486	2.453853875
16707120	2.343605375
16928988	1.226983875
16672390	1.715933625
17056963	-2.123004625
17102230	-1.1435505
16987381	-1.39431375
16830577	1.944977
16809457	1.88843475
16897112	1.120469
